,dayOfWeek_sin,dayOfWeek_cos,dayInYear_sin,dayInYear_cos,timeOfDay_sin,timeOfDay_cos,monthInYear_sin,monthInYear_cos,close,low,high,open,volume,ADA,EOS,SOL,TRX
0,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.3984010898462412,-0.9172113015054532,-2.4492935982947064e-16,1.0,-0.1958657677135341,-0.10875786865939231,-0.21414894368689005,-0.1762859147572728,-0.11047605283424805,0,1,0,0
0,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.3984010898462412,-0.9172113015054532,-2.4492935982947064e-16,1.0,-0.283651280210773,-0.20456733879767688,-0.2674674804965839,-0.20552480925989608,0.4752726246842188,1,0,0,0
0,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.3984010898462412,-0.9172113015054532,-2.4492935982947064e-16,1.0,-0.41904828429461916,-0.3493858041786055,-0.4019369043688725,-0.5012183331773598,0.08337953480152833,0,0,0,1
0,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.3984010898462412,-0.9172113015054532,-2.4492935982947064e-16,1.0,-0.3431084840413595,-0.22845561680525717,-0.2809153129767723,-0.24275774739531278,0.2556900986404675,0,0,1,0
1,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.6310879443260528,-0.7757112907044198,-2.4492935982947064e-16,1.0,-0.3298485847237715,-0.322307746932599,-0.30555887730525655,-0.2419961214210332,1.4673931763468937,1,0,0,0
1,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.6310879443260528,-0.7757112907044198,-2.4492935982947064e-16,1.0,-0.29831831086907734,-0.2541638377879051,-0.23463409534916177,-0.17267004388148943,0.8650712170283894,0,1,0,0
1,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.6310879443260528,-0.7757112907044198,-2.4492935982947064e-16,1.0,-0.5128265757751629,-0.4695579087326876,-0.42524275823041585,-0.44778351141691347,0.20517806899378346,0,0,0,1
1,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.6310879443260528,-0.7757112907044198,-2.4492935982947064e-16,1.0,-0.3824070521241944,-0.3423840413014585,-0.337068666687492,-0.330232845602725,0.7997730767729783,0,0,1,0
2,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.816969893010442,-0.5766803221148672,-2.4492935982947064e-16,1.0,-0.23564839222454928,-0.3140690429382084,-0.2553137831748264,-0.4174682614389931,0.44093584586018564,0,1,0,0
2,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.816969893010442,-0.5766803221148672,-2.4492935982947064e-16,1.0,-0.24988778201098177,-0.3309733194072227,-0.2723034689649255,-0.3181111368508969,0.577354028878626,1,0,0,0
2,-0.8660254037844385,-0.5000000000000004,-0.23867276600594997,0.9711000518829505,-0.816969893010442,-0.5766803221148672,-2.4492935982947064e-16,1.0,-0.46323406577563,-0.4716623731611116,-0.46601322727694877,-0.5348697363778693,0.08872339157760288,0,0,0,1
